order,latitude,longitude
1,32.71872923,-114.7201709
2,32.53689006,-117.1219757
3,32.5366688,-117.1243866
4,32.53637879,-117.1427967
5,32.5692909,-117.142652
6,32.55799553,-117.2152547
7,32.60026453,-117.2592547
8,32.62561125,-117.4441571
9,32.63465141,-117.5067576
10,32.63903034,-117.5392595
11,32.64308508,-117.5641624
12,32.64872276,-117.6058656
13,32.6706098,-117.7674749
14,32.67744902,-117.8182725
15,32.59238003,-117.8575716
16,32.03523782,-118.1187722
17,31.66170501,-118.2909756
18,31.59216723,-118.3229734
19,31.46559014,-118.381079
20,31.39371215,-118.4138778
21,31.36087435,-118.437079
22,31.35139321,-118.4445788
23,31.31908561,-118.4729757
24,31.22744605,-118.5483777
25,31.18348684,-118.5838777
26,31.15955989,-118.6044772
27,31.08105967,-118.6676798
28,31.04507305,-118.6789788
29,31.03854228,-118.7196824
30,31.03388057,-118.7733791
31,31.03269197,-118.8350792
32,31.0292675,-118.9873878
33,31.0280997,-119.078187
34,31.00673422,-120.045613
35,30.65032476,-121.6065456
36,30.59555389,-121.8422521
37,30.53355764,-121.8746542
38,30.2755443,-121.9960533
39,30.16220607,-122.0359548
40,29.73834979,-122.1334492
41,29.48706814,-122.1633473
42,29.16220989,-122.1682429
43,28.89926014,-122.1424454
44,28.36938844,-122.0349335
45,28.06619785,-121.9534325
46,27.90851659,-121.9001314
47,27.60750847,-121.7581207
48,27.53078123,-121.7147157
49,27.29448107,-121.5804113
50,27.18157702,-121.5019102
51,27.03249228,-121.3970107
52,26.78295433,-121.1920034
53,26.5002572,-120.8994927
54,26.27988781,-120.5789821
55,26.15814406,-120.435073
56,26.05762819,-120.2873722
57,25.92659282,-120.03697
58,25.8493191,-119.8483674
59,25.75220435,-119.6122555
60,25.63372171,-119.1604488
61,25.6057737,-118.9543367
62,25.54492021,-118.2529224
63,25.5523197,-118.0036196
64,25.58972967,-117.8187179
65,25.50402531,-117.7278115
66,25.50402531,-117.7278115
67,25.38915902,-117.6116053
68,25.35839119,-117.5811022
69,25.2558841,-117.4402985
70,24.92989057,-117.1164913
71,24.70474156,-116.8198841
72,24.56739857,-116.6378806
73,24.46923998,-116.5231776
74,24.3926546,-116.3668708
75,24.32291993,-116.2510616
76,24.26463267,-116.1294617
77,24.20720577,-115.9639614
78,24.18801886,-115.9354574
79,24.13272012,-115.8491517
80,24.02089437,-115.676754
81,23.87445123,-115.6496531
82,23.43061919,-115.5112434
83,23.33230397,-115.4732478
84,22.8154783,-115.1757391
85,22.72466252,-115.1270316
86,22.55514991,-114.9805284
87,22.15647755,-114.6037112
88,21.63420706,-113.8459964
89,21.68813199,-114.061905
90,21.74239038,-114.3588088
91,21.76181473,-114.6349143
92,21.74955791,-114.8446198
93,21.716037,-115.0801283
94,21.6969845,-115.3206342
95,21.64818837,-115.5590342
96,21.63971591,-115.670639
97,21.53840901,-115.969747
98,21.49423096,-116.0514439
99,21.36695648,-116.4371546
100,21.25300867,-116.651956
101,21.08678476,-116.9232692
102,20.9719218,-117.0671694
103,20.87084463,-117.1728685
104,20.73921116,-117.3375744
105,20.58038615,-117.4684736
106,20.49720106,-117.5477746
107,20.22074224,-117.7692817
108,20.14030568,-117.8126781
109,19.82077193,-117.9847837
110,19.66577523,-118.0474826
111,19.58843807,-118.0723851
112,19.17316843,-118.207983
113,19.05621395,-118.2345867
114,18.96850715,-118.2545833
115,18.7995249,-118.2767846
116,18.69495049,-118.2818807
117,18.44836243,-118.2941862
118,18.11248107,-118.2756832
119,17.99874631,-118.2566776
120,17.69846967,-118.2062758
121,17.37106651,-118.1082733
122,16.86766329,-117.8904712
123,16.66207227,-117.7701681
124,16.45804523,-117.6459662
125,16.0859849,-117.3386551
126,15.87976394,-117.1152465
127,15.60537942,-116.7759374
128,15.35962301,-116.3034245
129,15.25978899,-116.0922235
130,15.22612064,-116.0181253
131,15.16290475,-115.7956175
132,15.04072304,-115.0726959
